iteration,Ux,Uy,p,k,omega
151,1.514e-01,1.514e-01,1.514e-01,1.514e-01,1.514e-01
152,1.496e-01,1.496e-01,1.496e-01,1.496e-01,1.496e-01
153,1.477e-01,1.477e-01,1.477e-01,1.477e-01,1.477e-01
154,1.459e-01,1.459e-01,1.459e-01,1.459e-01,1.459e-01
155,1.441e-01,1.441e-01,1.441e-01,1.441e-01,1.441e-01
156,1.423e-01,1.423e-01,1.423e-01,1.423e-01,1.423e-01
157,1.405e-01,1.405e-01,1.405e-01,1.405e-01,1.405e-01
158,1.388e-01,1.388e-01,1.388e-01,1.388e-01,1.388e-01
159,1.370e-01,1.370e-01,1.370e-01,1.370e-01,1.370e-01
160,1.353e-01,1.353e-01,1.353e-01,1.353e-01,1.353e-01
161,1.337e-01,1.337e-01,1.337e-01,1.337e-01,1.337e-01
162,1.320e-01,1.320e-01,1.320e-01,1.320e-01,1.320e-01
163,1.304e-01,1.304e-01,1.304e-01,1.304e-01,1.304e-01
164,1.287e-01,1.287e-01,1.287e-01,1.287e-01,1.287e-01
165,1.271e-01,1.271e-01,1.271e-01,1.271e-01,1.271e-01
166,1.256e-01,1.256e-01,1.256e-01,1.256e-01,1.256e-01
167,1.240e-01,1.240e-01,1.240e-01,1.240e-01,1.240e-01
168,1.225e-01,1.225e-01,1.225e-01,1.225e-01,1.225e-01
169,1.209e-01,1.209e-01,1.209e-01,1.209e-01,1.209e-01
170,1.194e-01,1.194e-01,1.194e-01,1.194e-01,1.194e-01
171,1.179e-01,1.179e-01,1.179e-01,1.179e-01,1.179e-01
172,1.165e-01,1.165e-01,1.165e-01,1.165e-01,1.165e-01
173,1.150e-01,1.150e-01,1.150e-01,1.150e-01,1.150e-01
174,1.136e-01,1.136e-01,1.136e-01,1.136e-01,1.136e-01
175,1.122e-01,1.122e-01,1.122e-01,1.122e-01,1.122e-01
176,1.108e-01,1.108e-01,1.108e-01,1.108e-01,1.108e-01
177,1.094e-01,1.094e-01,1.094e-01,1.094e-01,1.094e-01
178,1.081e-01,1.081e-01,1.081e-01,1.081e-01,1.081e-01
179,1.067e-01,1.067e-01,1.067e-01,1.067e-01,1.067e-01
180,1.054e-01,1.054e-01,1.054e-01,1.054e-01,1.054e-01
181,1.041e-01,1.041e-01,1.041e-01,1.041e-01,1.041e-01
182,1.028e-01,1.028e-01,1.028e-01,1.028e-01,1.028e-01
183,1.015e-01,1.015e-01,1.015e-01,1.015e-01,1.015e-01
184,1.003e-01,1.003e-01,1.003e-01,1.003e-01,1.003e-01
185,9.901e-02,9.901e-02,9.901e-02,9.901e-02,9.901e-02
186,9.778e-02,9.778e-02,9.778e-02,9.778e-02,9.778e-02
187,9.657e-02,9.657e-02,9.657e-02,9.657e-02,9.657e-02
188,9.537e-02,9.537e-02,9.537e-02,9.537e-02,9.537e-02
189,9.418e-02,9.418e-02,9.418e-02,9.418e-02,9.418e-02
190,9.301e-02,9.301e-02,9.301e-02,9.301e-02,9.301e-02
191,9.186e-02,9.186e-02,9.186e-02,9.186e-02,9.186e-02
192,9.072e-02,9.072e-02,9.072e-02,9.072e-02,9.072e-02
193,8.959e-02,8.959e-02,8.959e-02,8.959e-02,8.959e-02
194,8.848e-02,8.848e-02,8.848e-02,8.848e-02,8.848e-02
195,8.738e-02,8.738e-02,8.738e-02,8.738e-02,8.738e-02
196,8.629e-02,8.629e-02,8.629e-02,8.629e-02,8.629e-02
197,8.522e-02,8.522e-02,8.522e-02,8.522e-02,8.522e-02
198,8.416e-02,8.416e-02,8.416e-02,8.416e-02,8.416e-02
199,8.312e-02,8.312e-02,8.312e-02,8.312e-02,8.312e-02
200,8.208e-02,8.208e-02,8.208e-02,8.208e-02,8.208e-02
201,8.107e-02,8.107e-02,8.107e-02,8.107e-02,8.107e-02
202,8.006e-02,8.006e-02,8.006e-02,8.006e-02,8.006e-02
203,7.906e-02,7.906e-02,7.906e-02,7.906e-02,7.906e-02
204,7.808e-02,7.808e-02,7.808e-02,7.808e-02,7.808e-02
205,7.711e-02,7.711e-02,7.711e-02,7.711e-02,7.711e-02
206,7.615e-02,7.615e-02,7.615e-02,7.615e-02,7.615e-02
207,7.521e-02,7.521e-02,7.521e-02,7.521e-02,7.521e-02
208,7.427e-02,7.427e-02,7.427e-02,7.427e-02,7.427e-02
209,7.335e-02,7.335e-02,7.335e-02,7.335e-02,7.335e-02
210,7.244e-02,7.244e-02,7.244e-02,7.244e-02,7.244e-02
211,7.154e-02,7.154e-02,7.154e-02,7.154e-02,7.154e-02
212,7.065e-02,7.065e-02,7.065e-02,7.065e-02,7.065e-02
213,6.977e-02,6.977e-02,6.977e-02,6.977e-02,6.977e-02
214,6.891e-02,6.891e-02,6.891e-02,6.891e-02,6.891e-02
215,6.805e-02,6.805e-02,6.805e-02,6.805e-02,6.805e-02
216,6.721e-02,6.721e-02,6.721e-02,6.721e-02,6.721e-02
217,6.637e-02,6.637e-02,6.637e-02,6.637e-02,6.637e-02
218,6.555e-02,6.555e-02,6.555e-02,6.555e-02,6.555e-02
219,6.473e-02,6.473e-02,6.473e-02,6.473e-02,6.473e-02
220,6.393e-02,6.393e-02,6.393e-02,6.393e-02,6.393e-02
221,6.313e-02,6.313e-02,6.313e-02,6.313e-02,6.313e-02
222,6.235e-02,6.235e-02,6.235e-02,6.235e-02,6.235e-02
223,6.157e-02,6.157e-02,6.157e-02,6.157e-02,6.157e-02
224,6.081e-02,6.081e-02,6.081e-02,6.081e-02,6.081e-02
225,6.005e-02,6.005e-02,6.005e-02,6.005e-02,6.005e-02
226,5.931e-02,5.931e-02,5.931e-02,5.931e-02,5.931e-02
227,5.857e-02,5.857e-02,5.857e-02,5.857e-02,5.857e-02
228,5.784e-02,5.784e-02,5.784e-02,5.784e-02,5.784e-02
229,5.713e-02,5.713e-02,5.713e-02,5.713e-02,5.713e-02
230,5.642e-02,5.642e-02,5.642e-02,5.642e-02,5.642e-02
231,5.572e-02,5.572e-02,5.572e-02,5.572e-02,5.572e-02
232,5.502e-02,5.502e-02,5.502e-02,5.502e-02,5.502e-02
233,5.434e-02,5.434e-02,5.434e-02,5.434e-02,5.434e-02
234,5.366e-02,5.366e-02,5.366e-02,5.366e-02,5.366e-02
235,5.300e-02,5.300e-02,5.300e-02,5.300e-02,5.300e-02
236,5.234e-02,5.234e-02,5.234e-02,5.234e-02,5.234e-02
237,5.169e-02,5.169e-02,5.169e-02,5.169e-02,5.169e-02
238,5.105e-02,5.105e-02,5.105e-02,5.105e-02,5.105e-02
239,5.041e-02,5.041e-02,5.041e-02,5.041e-02,5.041e-02
240,4.979e-02,4.979e-02,4.979e-02,4.979e-02,4.979e-02
241,4.917e-02,4.917e-02,4.917e-02,4.917e-02,4.917e-02
242,4.856e-02,4.856e-02,4.856e-02,4.856e-02,4.856e-02
243,4.795e-02,4.795e-02,4.795e-02,4.795e-02,4.795e-02
244,4.736e-02,4.736e-02,4.736e-02,4.736e-02,4.736e-02
245,4.677e-02,4.677e-02,4.677e-02,4.677e-02,4.677e-02
246,4.619e-02,4.619e-02,4.619e-02,4.619e-02,4.619e-02
247,4.562e-02,4.562e-02,4.562e-02,4.562e-02,4.562e-02
248,4.505e-02,4.505e-02,4.505e-02,4.505e-02,4.505e-02
249,4.449e-02,4.449e-02,4.449e-02,4.449e-02,4.449e-02
250,4.394e-02,4.394e-02,4.394e-02,4.394e-02,4.394e-02
251,4.339e-02,4.339e-02,4.339e-02,4.339e-02,4.339e-02
252,4.285e-02,4.285e-02,4.285e-02,4.285e-02,4.285e-02
253,4.232e-02,4.232e-02,4.232e-02,4.232e-02,4.232e-02
254,4.179e-02,4.179e-02,4.179e-02,4.179e-02,4.179e-02
255,4.127e-02,4.127e-02,4.127e-02,4.127e-02,4.127e-02
256,4.076e-02,4.076e-02,4.076e-02,4.076e-02,4.076e-02
257,4.026e-02,4.026e-02,4.026e-02,4.026e-02,4.026e-02
258,3.976e-02,3.976e-02,3.976e-02,3.976e-02,3.976e-02
259,3.926e-02,3.926e-02,3.926e-02,3.926e-02,3.926e-02
260,3.877e-02,3.877e-02,3.877e-02,3.877e-02,3.877e-02
261,3.829e-02,3.829e-02,3.829e-02,3.829e-02,3.829e-02
262,3.782e-02,3.782e-02,3.782e-02,3.782e-02,3.782e-02
263,3.735e-02,3.735e-02,3.735e-02,3.735e-02,3.735e-02
264,3.688e-02,3.688e-02,3.688e-02,3.688e-02,3.688e-02
265,3.642e-02,3.642e-02,3.642e-02,3.642e-02,3.642e-02
266,3.597e-02,3.597e-02,3.597e-02,3.597e-02,3.597e-02
267,3.553e-02,3.553e-02,3.553e-02,3.553e-02,3.553e-02
268,3.508e-02,3.508e-02,3.508e-02,3.508e-02,3.508e-02
269,3.465e-02,3.465e-02,3.465e-02,3.465e-02,3.465e-02
270,3.422e-02,3.422e-02,3.422e-02,3.422e-02,3.422e-02
271,3.379e-02,3.379e-02,3.379e-02,3.379e-02,3.379e-02
272,3.337e-02,3.337e-02,3.337e-02,3.337e-02,3.337e-02
273,3.296e-02,3.296e-02,3.296e-02,3.296e-02,3.296e-02
274,3.255e-02,3.255e-02,3.255e-02,3.255e-02,3.255e-02
275,3.214e-02,3.214e-02,3.214e-02,3.214e-02,3.214e-02
276,3.175e-02,3.175e-02,3.175e-02,3.175e-02,3.175e-02
277,3.135e-02,3.135e-02,3.135e-02,3.135e-02,3.135e-02
278,3.096e-02,3.096e-02,3.096e-02,3.096e-02,3.096e-02
279,3.058e-02,3.058e-02,3.058e-02,3.058e-02,3.058e-02
280,3.020e-02,3.020e-02,3.020e-02,3.020e-02,3.020e-02
281,2.982e-02,2.982e-02,2.982e-02,2.982e-02,2.982e-02
282,2.945e-02,2.945e-02,2.945e-02,2.945e-02,2.945e-02
283,2.909e-02,2.909e-02,2.909e-02,2.909e-02,2.909e-02
284,2.872e-02,2.872e-02,2.872e-02,2.872e-02,2.872e-02
285,2.837e-02,2.837e-02,2.837e-02,2.837e-02,2.837e-02
286,2.802e-02,2.802e-02,2.802e-02,2.802e-02,2.802e-02
287,2.767e-02,2.767e-02,2.767e-02,2.767e-02,2.767e-02
288,2.732e-02,2.732e-02,2.732e-02,2.732e-02,2.732e-02
289,2.698e-02,2.698e-02,2.698e-02,2.698e-02,2.698e-02
290,2.665e-02,2.665e-02,2.665e-02,2.665e-02,2.665e-02
291,2.632e-02,2.632e-02,2.632e-02,2.632e-02,2.632e-02
292,2.599e-02,2.599e-02,2.599e-02,2.599e-02,2.599e-02
293,2.567e-02,2.567e-02,2.567e-02,2.567e-02,2.567e-02
294,2.535e-02,2.535e-02,2.535e-02,2.535e-02,2.535e-02
295,2.503e-02,2.503e-02,2.503e-02,2.503e-02,2.503e-02
296,2.472e-02,2.472e-02,2.472e-02,2.472e-02,2.472e-02
297,2.442e-02,2.442e-02,2.442e-02,2.442e-02,2.442e-02
298,2.411e-02,2.411e-02,2.411e-02,2.411e-02,2.411e-02
299,2.381e-02,2.381e-02,2.381e-02,2.381e-02,2.381e-02
300,2.352e-02,2.352e-02,2.352e-02,2.352e-02,2.352e-02
301,2.323e-02,2.323e-02,2.323e-02,2.323e-02,2.323e-02
302,2.294e-02,2.294e-02,2.294e-02,2.294e-02,2.294e-02
303,2.265e-02,2.265e-02,2.265e-02,2.265e-02,2.265e-02
304,2.237e-02,2.237e-02,2.237e-02,2.237e-02,2.237e-02
305,2.209e-02,2.209e-02,2.209e-02,2.209e-02,2.209e-02
306,2.182e-02,2.182e-02,2.182e-02,2.182e-02,2.182e-02
307,2.155e-02,2.155e-02,2.155e-02,2.155e-02,2.155e-02
308,2.128e-02,2.128e-02,2.128e-02,2.128e-02,2.128e-02
309,2.102e-02,2.102e-02,2.102e-02,2.102e-02,2.102e-02
310,2.075e-02,2.075e-02,2.075e-02,2.075e-02,2.075e-02
311,2.050e-02,2.050e-02,2.050e-02,2.050e-02,2.050e-02
312,2.024e-02,2.024e-02,2.024e-02,2.024e-02,2.024e-02
313,1.999e-02,1.999e-02,1.999e-02,1.999e-02,1.999e-02
314,1.974e-02,1.974e-02,1.974e-02,1.974e-02,1.974e-02
315,1.950e-02,1.950e-02,1.950e-02,1.950e-02,1.950e-02
316,1.925e-02,1.925e-02,1.925e-02,1.925e-02,1.925e-02
317,1.902e-02,1.902e-02,1.902e-02,1.902e-02,1.902e-02
318,1.878e-02,1.878e-02,1.878e-02,1.878e-02,1.878e-02
319,1.855e-02,1.855e-02,1.855e-02,1.855e-02,1.855e-02
320,1.832e-02,1.832e-02,1.832e-02,1.832e-02,1.832e-02
321,1.809e-02,1.809e-02,1.809e-02,1.809e-02,1.809e-02
322,1.786e-02,1.786e-02,1.786e-02,1.786e-02,1.786e-02
323,1.764e-02,1.764e-02,1.764e-02,1.764e-02,1.764e-02
324,1.742e-02,1.742e-02,1.742e-02,1.742e-02,1.742e-02
325,1.721e-02,1.721e-02,1.721e-02,1.721e-02,1.721e-02
326,1.699e-02,1.699e-02,1.699e-02,1.699e-02,1.699e-02
327,1.678e-02,1.678e-02,1.678e-02,1.678e-02,1.678e-02
328,1.657e-02,1.657e-02,1.657e-02,1.657e-02,1.657e-02
329,1.637e-02,1.637e-02,1.637e-02,1.637e-02,1.637e-02
330,1.616e-02,1.616e-02,1.616e-02,1.616e-02,1.616e-02
331,1.596e-02,1.596e-02,1.596e-02,1.596e-02,1.596e-02
332,1.576e-02,1.576e-02,1.576e-02,1.576e-02,1.576e-02
333,1.557e-02,1.557e-02,1.557e-02,1.557e-02,1.557e-02
334,1.538e-02,1.538e-02,1.538e-02,1.538e-02,1.538e-02
335,1.518e-02,1.518e-02,1.518e-02,1.518e-02,1.518e-02
336,1.500e-02,1.500e-02,1.500e-02,1.500e-02,1.500e-02
337,1.481e-02,1.481e-02,1.481e-02,1.481e-02,1.481e-02
338,1.463e-02,1.463e-02,1.463e-02,1.463e-02,1.463e-02
339,1.444e-02,1.444e-02,1.444e-02,1.444e-02,1.444e-02
340,1.426e-02,1.426e-02,1.426e-02,1.426e-02,1.426e-02
341,1.409e-02,1.409e-02,1.409e-02,1.409e-02,1.409e-02
342,1.391e-02,1.391e-02,1.391e-02,1.391e-02,1.391e-02
343,1.374e-02,1.374e-02,1.374e-02,1.374e-02,1.374e-02
344,1.357e-02,1.357e-02,1.357e-02,1.357e-02,1.357e-02
345,1.340e-02,1.340e-02,1.340e-02,1.340e-02,1.340e-02
346,1.323e-02,1.323e-02,1.323e-02,1.323e-02,1.323e-02
347,1.307e-02,1.307e-02,1.307e-02,1.307e-02,1.307e-02
348,1.291e-02,1.291e-02,1.291e-02,1.291e-02,1.291e-02
349,1.275e-02,1.275e-02,1.275e-02,1.275e-02,1.275e-02
350,1.259e-02,1.259e-02,1.259e-02,1.259e-02,1.259e-02
351,1.243e-02,1.243e-02,1.243e-02,1.243e-02,1.243e-02
352,1.228e-02,1.228e-02,1.228e-02,1.228e-02,1.228e-02
353,1.212e-02,1.212e-02,1.212e-02,1.212e-02,1.212e-02
354,1.197e-02,1.197e-02,1.197e-02,1.197e-02,1.197e-02
355,1.183e-02,1.183e-02,1.183e-02,1.183e-02,1.183e-02
356,1.168e-02,1.168e-02,1.168e-02,1.168e-02,1.168e-02
357,1.153e-02,1.153e-02,1.153e-02,1.153e-02,1.153e-02
358,1.139e-02,1.139e-02,1.139e-02,1.139e-02,1.139e-02
359,1.125e-02,1.125e-02,1.125e-02,1.125e-02,1.125e-02
360,1.111e-02,1.111e-02,1.111e-02,1.111e-02,1.111e-02
361,1.097e-02,1.097e-02,1.097e-02,1.097e-02,1.097e-02
362,1.083e-02,1.083e-02,1.083e-02,1.083e-02,1.083e-02
363,1.070e-02,1.070e-02,1.070e-02,1.070e-02,1.070e-02
364,1.057e-02,1.057e-02,1.057e-02,1.057e-02,1.057e-02
365,1.044e-02,1.044e-02,1.044e-02,1.044e-02,1.044e-02
366,1.031e-02,1.031e-02,1.031e-02,1.031e-02,1.031e-02
367,1.018e-02,1.018e-02,1.018e-02,1.018e-02,1.018e-02
368,1.005e-02,1.005e-02,1.005e-02,1.005e-02,1.005e-02
369,9.927e-03,9.927e-03,9.927e-03,9.927e-03,9.927e-03
370,9.804e-03,9.804e-03,9.804e-03,9.804e-03,9.804e-03
371,9.682e-03,9.682e-03,9.682e-03,9.682e-03,9.682e-03
372,9.562e-03,9.562e-03,9.562e-03,9.562e-03,9.562e-03
373,9.443e-03,9.443e-03,9.443e-03,9.443e-03,9.443e-03
374,9.326e-03,9.326e-03,9.326e-03,9.326e-03,9.326e-03
375,9.210e-03,9.210e-03,9.210e-03,9.210e-03,9.210e-03
376,9.095e-03,9.095e-03,9.095e-03,9.095e-03,9.095e-03
377,8.982e-03,8.982e-03,8.982e-03,8.982e-03,8.982e-03
